,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
193109,-34.95,-31.71,-30.75,-20.44,-35.66,-39.54,-35.69,-30.4,-36,-26.66,-39.42,-34.23,-31.96,-30.99,-25.45,-38.5,-36.14,-29.92,-33.88,-21.34,-40.53,-29.31,-30.28,-29.62,-26.39
193110,7.16,15.78,6.21,10.2,22.75,16.34,13.06,5.28,10.45,17.31,7.73,10.99,11.43,10.92,16.2,4.36,13.47,6.88,8.93,10.59,-0.11,1.78,7.92,8.39,10.07
193111,-12.51,-8.16,-9.1,-12.79,-5.48,-11.37,-11.85,-5.23,-10.55,-6.86,-17.01,-14.93,-3.55,-5.35,-3.44,-20.82,-15.94,-9.65,-2.09,-2.55,-16.04,-9.68,-13.25,-7.32,-6.63
193112,-28.24,-22.62,-16.11,-19.45,-22.95,-27.11,-21.17,-24.47,-10.59,-13.78,-25.8,-21.5,-20.85,-13.14,-9.05,-29.63,-24.38,-14.7,-10.62,-2.54,-25.32,-22.09,-16.76,-11.13,-10.08
193201,27.37,25.3,26.73,6.62,7.76,12.03,11.93,22.51,1.26,1.84,17.66,2.09,1.57,3.59,1.04,18.78,-2.36,1.53,1.14,-1.23,10.05,2.83,-2.23,-3.99,-0.14
193202,-0.88,0.11,-1.4,5.29,1.83,2.48,-1.88,0.09,6.24,7.06,-1.01,-0.91,-0.16,-2.25,1.57,-4.86,1.12,10.28,4.8,1.91,7.62,4.47,5.8,7.7,4.82
193203,-14.94,-17.12,-11.67,-5.27,-7.18,-16.46,-11.11,-15.2,-14.8,-6.21,-24.42,-14.82,-14.47,-6.7,-7.9,-22.49,-10.71,-11.86,-14.03,-6.02,-22.54,-18.37,-12.96,-10.9,-6.39
193204,-19.61,-19.53,-16.81,-23.46,-22.18,-26.53,-19.58,-17.39,-16.95,-14.42,-23.42,-11.91,-21.65,-16.86,-16.09,-24.06,-21.48,-15.86,-19.69,-10.84,-18.38,-23.56,-21.1,-21.01,-13.14
193205,-6.93,-6.84,-14.19,-11.86,-8.88,-26.86,-23.72,-23.33,-18.03,-19.21,-33.66,-25.87,-22.67,-23.94,-17.57,-35.64,-30.39,-23.57,-23.56,-19.35,-42.39,-25.58,-25.75,-17.18,-16.75
193206,-1.43,1.1,1.13,-3.35,-3.43,4.56,8.91,7.41,-7.51,8.78,2.46,5.15,5.12,2.34,11.64,9.11,4.75,5.64,3.94,3.78,0.6,-7.74,-3.07,-3.18,4.6
193207,53.52,59.81,45.46,15.21,7.21,72.36,64.24,38.1,27.85,14.93,78.62,60.46,37.61,28.84,18.7,76.76,45.68,39.13,29.93,23.55,78.59,57.46,44.94,32.63,18.62
193208,111.23,100.41,99.03,78.46,74.35,98.05,68.08,67.42,49.52,54.74,95.34,63.96,65.67,34.16,23.87,115.6,72,39.51,35.8,24.98,74.52,51.08,54.69,28.58,21.24
193209,-4.53,-19.24,-4.48,-19.17,-24.73,-11.14,-9.1,-3.86,-13.21,-8.42,-10.13,-5.11,-2.75,-5.81,-1.29,-10.6,0.15,-0.19,-5.31,0.16,-3.03,0.02,-4.55,-2.15,-5.15
193210,-14.23,-21.02,-16.58,-21.52,-20.71,-16.45,-15.7,-21.25,-12.35,-19.44,-16.1,-17.72,-14.37,-17.97,-24.48,-22.1,-21.66,-14.68,-13.51,-13.28,-18.36,-17.53,-9.88,-10.74,-8.95
193211,-9.94,-3,-7.85,-1.95,-8.59,-6.85,-8.79,-8.28,-7.55,-11.81,-9.02,-7.17,-9.79,-6.77,-9.17,-10.16,-6.57,-5,-5.96,-3.04,-8.69,-8.14,-2.27,-4.79,-13.83
193212,-12.5,-17.05,-13.75,-12.36,-3.6,-15.3,-6.23,-7.56,-11.51,-6.06,-6.37,-6.14,-5.61,-2.36,3.83,-2.34,1.58,1.11,-0.57,4.89,6.56,4.76,5.46,5.26,5.49
193301,8.57,10.63,3.63,10.3,-5.95,3.55,7.31,4.53,5.1,2.01,6.41,6.62,3.23,11.3,7.11,-2.45,5.75,2.9,-0.38,2.77,1.76,3.49,0.6,-0.49,2.2
193302,-15.85,-20.6,-13.21,-17.22,-7.75,-15.73,-22.02,-15.73,-14.56,-14.65,-20.64,-20.6,-18.34,-16.14,-18.03,-19.89,-22.85,-16.68,-13.22,-11.73,-22.7,-19.68,-14.52,-12.54,-16.62
193303,9.61,10.56,26.79,8.19,18.73,6.24,5.35,22.72,15.99,23.45,2.23,7.3,8.47,11.61,3.64,-7.67,12.61,7.27,10.17,12.74,17.69,7.59,3.46,-1.78,7.29
193304,58.22,62.85,56.07,84.5,53.87,61.66,52.32,34.72,58.45,43.33,60.65,63.36,55.51,39.01,35.78,72.37,60.8,59.64,63.43,37.33,49.01,57.71,42.88,29.5,30.18
193305,97.68,124.52,118.46,122.91,89.74,84.15,86.69,57.89,85.66,71.11,57.85,51.89,48.3,48.07,41.73,34.68,30.02,40.48,32.21,29.72,27.79,15.53,18.65,18.77,17.76
193306,38.6,36.46,22.3,45.09,31.65,13.38,29.85,27.79,17.55,14.37,12.03,17.74,16.02,15.18,17.97,14.56,15.33,13.26,13.47,19.83,11.51,10.27,9.95,14.8,17.33
193307,-13.15,-6.68,-3.16,-4.58,-6.73,-8.18,-5.29,-5.23,-12.51,-12.28,-15.23,-15.63,-15.29,-14.52,-16.63,-9.79,-10.89,-13.14,-5.71,-12.91,-7.82,-9.68,-12.93,-9.14,-9.79
193308,-7.2,12.94,3.24,11.1,6.81,8.17,7.96,12.23,0.3,12.62,7.94,14.18,18.86,16.5,12.49,14.04,14.01,15.51,20.95,24.23,5.08,12.16,16.54,18.99,24.17
193309,-18.26,-23.11,-17.61,-20.1,-15.6,-15.74,-17.4,-12.18,-16.28,-19.76,-18.84,-16.34,-15.12,-15.12,-16.83,-22.98,-15.46,-9.98,-11.1,-8.94,-13.4,-8.29,-6.43,-11.79,-10.86
193310,-6.97,-15.89,-6.61,-14.67,-11.93,-13.32,-8.37,-16.93,-11.16,-12.82,-12.16,-10.02,-11.11,-14.05,-14.39,-12.49,-12.23,-12.6,-8.31,-10.65,-7.44,-8.22,-7.66,-8.38,-6.54
193311,3.01,10.56,6.17,12.96,-0.59,-0.92,4.42,7.63,7.05,9.47,5.47,8.82,5.75,9.4,5.93,4.33,9.54,8,12.67,9.4,-0.22,12.26,9.07,16.56,8.45
193312,-0.62,3.31,-0.64,0.78,2.88,-4.33,2.56,-1.18,9.64,-1.91,1.11,3.94,7.65,7.89,7.19,-1.69,4.16,4.44,2.02,3.83,2.83,-1.3,-0.43,5.73,4.84
193401,65.96,53.29,51.05,42.36,41,35.83,43.07,42.15,35.07,41.46,29.09,32.56,32.55,25.78,24.39,28.77,17.47,15.46,18.06,16.77,14.23,9.3,9.86,10.94,6.1
193402,2,13.33,11.03,2.33,5.28,2.91,0.55,-2.85,3.62,5.27,0.47,0.95,1.35,0.56,0.98,-3.53,-2.71,-0.52,-1.86,-0.92,-0.27,-2.87,-3.59,-4.2,-3.64
193403,4.09,0.83,-1.37,-1.37,-0.02,1.66,2.71,-1.94,3.24,-0.59,-5.55,0.77,-1.6,1.83,1.32,-0.92,0.55,0.77,2.8,2.62,-0.01,-0.2,-0.38,0.56,-0.08
193404,-0.88,23.43,8.17,2.96,1.33,4.94,0.91,1.46,0.25,-4.38,-0.28,3.9,-1.63,-2.31,-4.44,1.13,1.48,-2.06,-7.07,-7.18,-0.27,-2.4,-2.11,-3.64,-9.33
193405,-13.67,-13.77,-9.67,-14.42,-17.23,-13.55,-8.79,-13.08,-13.77,-8.28,-10.35,-11.64,-12.75,-9.57,-14.19,-6.86,-8.85,-10.35,-9.01,-9.75,-5.86,-5.17,-9.78,-6.63,-10.09
193406,0.2,-5.83,-2.48,1.41,-5.74,-4.05,-2.27,1.11,0.5,-2.34,-3.01,0.37,0.82,3.59,1.05,2.45,3.85,3.28,3.54,0.77,5.12,3.03,2.74,1.13,4.01
193407,-23.63,-20.85,-25.69,-27.51,-24.88,-23.75,-24.29,-26.55,-23.39,-20.29,-24.27,-25.48,-18.18,-18.23,-13.49,-26.74,-18.59,-15.03,-10.25,-12.27,-18.37,-15.02,-9.32,-7.67,-6.16
193408,14.08,17.23,14.36,12.14,14.59,7.48,7.65,9.06,21.58,17.53,7.31,9.7,7.78,9.6,13.39,5.19,11.36,7.28,4.55,10.3,0.78,6.24,4.82,5.42,5.61
193409,-5.49,-0.5,0.37,5.32,0.1,-3.75,-2.97,-1.73,-0.78,-3.48,1.46,-2.32,-3.81,-1.25,-0.25,2.62,-2.32,-2.1,0.81,0.03,-0.36,0.39,-0.52,0.1,-0.2
193410,-8.16,-4.01,-4.65,3.96,-0.25,-3.61,-4.87,-6.57,6.62,3.86,-7.65,-7.09,-2.08,0.67,-0.52,-5.65,-2.93,-1.85,-1,2.37,-5.34,-4.58,-1.54,-2.05,2.68
193411,12.73,17.15,10.82,26.88,20.92,9.5,15.14,21.53,18.47,18.17,10.11,16.53,13.44,13.73,13.33,13.58,7.07,11.42,11.64,12.86,10.54,6.9,5.93,8.94,10.27
193412,-4.37,-1.2,0.48,-4.9,8.5,-1.14,0.05,0.01,5.47,6.67,-1.88,2.11,4.83,1.75,3.62,0.4,1,1.45,1.62,4.66,-4.15,-0.28,0.57,-0.83,1.89
193501,1.21,0.87,1.15,-3.33,-2.69,-1.99,-6.5,-5.85,-4.26,-5.84,-10.13,-2.34,-6.66,-3.87,-2.14,-9.38,-8.46,-4.36,-2.85,-0.9,-5.32,-6.09,-2.82,-1.97,-0.49
193502,-14.95,-12.02,-5.81,3.13,-5.2,-15.27,-9.8,-5.5,-1.12,-1.02,-21.21,-4.98,-7.44,0.25,2.61,-12.9,-9,-3.89,0.16,4.44,-14.27,-7.79,-3.87,-0.47,3.72
193503,-13.39,-11.68,-11.03,-12.17,-10.95,-15.95,-9.45,-8.76,-7.3,-8.1,-8.05,-12.2,-6.16,-4.31,-3.26,-4.95,-1.55,-10.28,-3.22,-3.75,5.33,-8.15,-2.73,-2.73,-3.86
193504,14.99,7.62,10.66,17.45,6.59,12.19,12.25,13.43,4.87,10.74,20.38,10.75,13.06,5.78,8.94,11.23,9.55,8.63,4.91,4.22,11.5,13.71,9.58,8.7,7.92
193505,-1.61,3.78,3.71,-5.47,7.18,5.98,-1.18,7.05,-0.21,4.44,7.45,3.71,1.08,-0.18,2.73,12.84,8.91,-1.61,0.9,0.5,10.29,2.01,8.05,3.76,2.39
193506,-1.89,-4.6,0.92,1.31,-4.23,-3.32,1.86,5.14,7.12,4.68,1.32,8.14,7.5,6.05,8.38,7.43,7.77,8.23,5.98,5.41,5.49,9.39,6.62,4.61,6.83
193507,16.92,18.18,12.31,13.63,5.05,15.79,13.78,9.62,16.3,15.73,16.56,9.43,8.26,12.07,9.64,9.11,12.56,6.72,5.13,8.54,15.44,12.98,7.42,7.19,5.28
193508,21.61,11.06,13.51,17.1,5.75,8.03,16.21,8.07,4.21,4.75,16.82,9.69,2.82,4.72,5.14,16.8,3.25,1.87,1.34,2.74,40.04,-0.73,2.35,3.65,1.44
193509,-5.81,0.81,14.53,5.32,14.61,-3.39,3.97,2.48,0.22,9.37,-1.78,3.81,2.96,7.77,6.51,-4.54,-2.05,3.83,3.17,2.06,1.9,-1.45,0.47,3.64,6.45
193510,12.86,7.32,10.16,8.98,0.32,10.6,12.05,11.64,12.33,9.38,7.54,5.77,5.48,9.54,10.32,0.9,4.72,8.06,6.25,12.12,11.48,8.06,3.95,7.74,9.06
193511,36.24,20.93,31.71,26.97,19.86,25.67,18.35,13.55,7.71,10.67,14.58,8.1,12.1,10.23,7.25,9.48,5.14,3.83,3.62,6.99,3.89,5.45,2.19,4.97,4.36
193512,-2.74,3.41,-2.54,4.51,12.92,7.59,2.9,6.84,12.35,8.73,2.96,9.28,3.4,12.68,9.72,2.81,4.56,4.44,7.57,12.95,5.91,3.49,5.36,1.33,5.83
193601,31.28,37.07,19.72,29.95,23.69,15.39,16.59,12.01,18.78,9.4,11.69,6.75,13.71,8.98,10.53,4.68,4.57,4.4,6.43,13.57,12.27,8.02,5.92,5.43,6.88
193602,3.97,6.24,16.13,13.89,3.26,2.83,0.29,6.93,11.79,7.01,3.86,6.24,2.87,2.94,6.96,1.41,0.35,4.76,7.33,-0.08,0.24,1.83,2.9,3.18,1.34
193603,-2.85,3.38,1.67,-2.94,-0.54,-0.51,-1.67,0.32,3.24,5.2,3.76,0.53,0.98,2.41,2.52,-0.68,1.81,1.87,-2.32,5.95,-1.43,0.32,0.18,4.04,1.54
193604,3.78,-16.25,-20.51,-23.2,-21.58,-9.97,-12.36,-15.77,-14.15,-15.98,-4.91,-10.05,-7.23,-14.88,-17.25,-6,-11.32,-10.96,-12.28,-14.69,-3.26,-7.13,-8.3,-10.9,-9.96
193605,-1.06,9.25,4.33,11.85,6.88,2.48,6.74,2.49,4.96,5.11,1.31,3.13,5.6,6.81,8.53,0.84,2.05,6.31,6.5,7.51,5.33,4.7,5.51,5.6,10.62
193606,-1.56,-0.47,0.47,-2.87,-2.28,-2.55,-1.31,-1.31,-0.81,-0.94,0.52,0.4,1.27,0.57,-0.76,-0.13,-0.31,0.36,-0.06,0.77,3.15,1.77,3.12,3.86,4.22
193607,2.9,9.4,8.63,10.02,10.12,10.42,9.28,7.83,9.5,8.22,4.02,10.62,7.12,8.95,15.07,4.08,6.87,9.13,13.74,11.32,1.68,6.36,8.91,6.9,11.25
193608,1.5,4.46,7.81,-0.07,3.23,-0.9,4.25,0.95,3.56,1.23,1.19,4.07,5.32,2.53,1.78,1.15,1.12,5.71,3.24,1.79,0.55,0.99,1.6,-0.89,1.64
193609,3.27,2.43,7.04,4.41,5.22,3.12,3.02,6.5,2.58,4.73,3.93,3.76,3.27,4.7,2.76,-0.38,4.49,2.45,0.94,1.09,-0.2,0.38,0.48,0.69,4.31
193610,9.01,7.95,4.35,8.31,4.48,5.29,6.34,7.21,9.21,4.92,5.63,3.74,5.11,8.4,4.53,5.13,5.06,3.25,6.22,6.85,5.37,6.36,7.66,8.35,12.7
